Ticker,Symbol,Security Name,Exchange,Sector,Industry,Market Cap,Avg Volume
ESI,ESI,Element Solutions Inc. Common Stock,NYSE,Unknown,Unknown,,4341772
SU,SU,Suncor Energy  Inc. Common Stock,NYSE,Unknown,Unknown,,4332324
NXPI,NXPI,NXP Semiconductors N.V. - Common Stock,NASDAQ,Unknown,Unknown,,4315040
DOCS,DOCS,"Doximity, Inc. Class A Common Stock",NYSE,Unknown,Unknown,,4313724
MRAM,MRAM,"Everspin Technologies, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,4307464
AS,AS,"Amer Sports, Inc. Ordinary Shares",NYSE,Unknown,Unknown,,4282378
BBY,BBY,"Best Buy Co., Inc. Common Stock",NYSE,Unknown,Unknown,,4278674
AGI,AGI,Alamos Gold Inc. Class A Common Shares,NYSE,Unknown,Unknown,,4278400
INSM,INSM,Insmed Incorporated - Common Stock,NASDAQ,Unknown,Unknown,,4270162
NTNX,NTNX,"Nutanix, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,4265766
NOV,NOV,NOV Inc. Common Stock,NYSE,Unknown,Unknown,,4247298
NET,NET,"Cloudflare, Inc. Class A Common Stock",NYSE,Unknown,Unknown,,4234750
ROL,ROL,"Rollins, Inc. Common Stock",NYSE,Unknown,Unknown,,4234382
MIR,MIR,"Mirion Technologies, Inc. Class A Common Stock",NYSE,Unknown,Unknown,,4208604
PGY,PGY,Pagaya Technologies Ltd. - Class A Ordinary Shares,NASDAQ,Unknown,Unknown,,4190162
W,W,Wayfair Inc. Class A Common Stock,NYSE,Unknown,Unknown,,4184832
SARO,SARO,"StandardAero, Inc. Common Stock",NYSE,Unknown,Unknown,,4184642
BTI,BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",NYSE,Unknown,Unknown,,4172044
CCI,CCI,Crown Castle Inc. Common Stock,NYSE,Unknown,Unknown,,4168674
SM,SM,SM Energy Company Common Stock,NYSE,Unknown,Unknown,,4160926
FIGR,FIGR,"Figure Technology Solutions, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,4091490
IR,IR,Ingersoll Rand Inc. Common Stock,NYSE,Unknown,Unknown,,4088848
DBX,DBX,"Dropbox, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,4063588
FHN,FHN,First Horizon Corporation Common Stock,NYSE,Unknown,Unknown,,4060364
OGN,OGN,Organon & Co. Common Stock ,NYSE,Unknown,Unknown,,4041192
SDOT,SDOT,Sadot Group Inc. - Common Stock,NASDAQ,Unknown,Unknown,,4021874
CTVA,CTVA,"Corteva, Inc. Common Stock ",NYSE,Unknown,Unknown,,4012132
APO,APO,"Apollo Global Management, Inc. (New) Common Stock",NYSE,Unknown,Unknown,,4009882
FMC,FMC,FMC Corporation Common Stock,NYSE,Unknown,Unknown,,4004644
BW,BW,"Babcock & Wilcox Enterprises, Inc. Common Stock",NYSE,Unknown,Unknown,,3999110
MA,MA,Mastercard Incorporated Common Stock,NYSE,Unknown,Unknown,,3991650
GPN,GPN,Global Payments Inc. Common Stock,NYSE,Unknown,Unknown,,3982142
SUNB,SUNB,"Sunbelt Rentals Holdings, Inc. Common Stock",NYSE,Unknown,Unknown,,3979780
DOCU,DOCU,"DocuSign, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3962806
VELO,VELO,"Velo3D, Inc. - Common stock",NASDAQ,Unknown,Unknown,,3952652
DLTR,DLTR,"Dollar Tree, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3950316
TRIP,TRIP,"TripAdvisor, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3948234
BROS,BROS,Dutch Bros Inc. Class A Common Stock,NYSE,Unknown,Unknown,,3937494
RPRX,RPRX,Royalty Pharma plc - Class A Ordinary Shares,NASDAQ,Unknown,Unknown,,3932158
OKE,OKE,"ONEOK, Inc. Common Stock",NYSE,Unknown,Unknown,,3928694
PENG,PENG,"Penguin Solutions, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3922068
ELF,ELF,"e.l.f. Beauty, Inc. Common Stock",NYSE,Unknown,Unknown,,3920840
NDAQ,NDAQ,"Nasdaq, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3920800
RBRK,RBRK,"Rubrik, Inc. Class A Common Stock",NYSE,Unknown,Unknown,,3895294
CEG,CEG,Constellation Energy Corporation - Common Stock When-Issued,NASDAQ,Unknown,Unknown,,3894024
OKTA,OKTA,"Okta, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,3892772
ADM,ADM,Archer-Daniels-Midland Company Common Stock,NYSE,Unknown,Unknown,,3888540
ABNB,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,3887788
SMTC,SMTC,Semtech Corporation - Common Stock,NASDAQ,Unknown,Unknown,,3886394
AMCR,AMCR,Amcor plc Ordinary Shares,NYSE,Unknown,Unknown,,3885722
BLZE,BLZE,"Backblaze, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3879344
SRE,SRE,DBA Sempra Common Stock,NYSE,Unknown,Unknown,,3879192
LULU,LULU,lululemon athletica inc. - Common Stock,NASDAQ,Unknown,Unknown,,3853420
EQNR,EQNR,Equinor ASA,NYSE,Unknown,Unknown,,3853328
BNY,BNY,The Bank of New York Mellon Corporation Common Stock,NYSE,Unknown,Unknown,,3833844
NCNO,NCNO,"nCino, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3815538
MFG,MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",NYSE,Unknown,Unknown,,3814572
LPTH,LPTH,"LightPath Technologies, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,3802742
MMM,MMM,3M Company Common Stock,NYSE,Unknown,Unknown,,3801888
